id,team_a_id,team_a_result,team_b_id,team_b_result,datetime_game,phase,status,placeholder_a,placeholder_b
1,MEX,,RSA,,2026-06-11 16:00,Grupos,,,
2,KOR,,CZE,,2026-06-11 23:00,Grupos,,,
7,CAN,,BIH,,2026-06-12 16:00,Grupos,,,
19,USA,,PAR,,2026-06-12 22:00,Grupos,,,
20,AUS,,TUR,,2026-06-13 01:00,Grupos,,,
8,QAT,,SUI,,2026-06-13 16:00,Grupos,,,
13,BRA,,MAR,,2026-06-13 19:00,Grupos,,,
14,HAI,,SCO,,2026-06-13 22:00,Grupos,,,
25,GER,,CUW,,2026-06-14 14:00,Grupos,,,
31,NED,,JPN,,2026-06-14 17:00,Grupos,,,
26,CIV,,ECU,,2026-06-14 20:00,Grupos,,,
32,SWE,,TUN,,2026-06-14 23:00,Grupos,,,
43,ESP,,CPV,,2026-06-15 13:00,Grupos,,,
37,BEL,,EGY,,2026-06-15 16:00,Grupos,,,
44,KSA,,URU,,2026-06-15 19:00,Grupos,,,
38,IRN,,NZL,,2026-06-15 22:00,Grupos,,,
49,FRA,,SEN,,2026-06-16 16:00,Grupos,,,
50,IRQ,,NOR,,2026-06-16 19:00,Grupos,,,
55,ARG,,ALG,,2026-06-16 22:00,Grupos,,,
56,AUT,,JOR,,2026-06-17 01:00,Grupos,,,
61,POR,,COD,,2026-06-17 14:00,Grupos,,,
67,ENG,,CRO,,2026-06-17 17:00,Grupos,,,
68,GHA,,PAN,,2026-06-17 20:00,Grupos,,,
62,UZB,,COL,,2026-06-17 23:00,Grupos,,,
3,CZE,,RSA,,2026-06-18 13:00,Grupos,,,
9,SUI,,BIH,,2026-06-18 16:00,Grupos,,,
10,CAN,,QAT,,2026-06-18 19:00,Grupos,,,
4,MEX,,KOR,,2026-06-18 22:00,Grupos,,,
21,TUR,,PAR,,2026-06-19 01:00,Grupos,,,
22,USA,,AUS,,2026-06-19 16:00,Grupos,,,
15,SCO,,MAR,,2026-06-19 19:00,Grupos,,,
16,BRA,,HAI,,2026-06-19 22:00,Grupos,,,
33,NED,,SWE,,2026-06-20 14:00,Grupos,,,
