team_name,ab,continent,group_team,team_flag_url,fifa_ranking,worlds_cups_won,is_active
África do Sul,RSA,África,A,https://flagcdn.com/w40/za.png,60,0,
Coréia do Sul,KOR,Ásia,A,https://flagcdn.com/w40/kr.png,22,0,
Europa D,EUD,Europa,A,,,,
México,MEX,América do Norte,A,https://flagcdn.com/w40/mx.png,16,0,
Canadá,CAN,América do Norte,B,https://flagcdn.com/w40/ca.png,29,0,
Catar,QAT,Ásia,B,https://flagcdn.com/w40/qa.png,56,0,
Europa A,EUA,Europa,B,,,,
Suíça,SUI,Europa,B,https://flagcdn.com/w40/ch.png,18,0,
Brasil,BRA,América do Sul,C,https://flagcdn.com/w40/br.png,5,5,
Escócia,SCO,Europa,C,https://flagcdn.com/w40/gb-sct.png,38,0,
Haiti,HAI,América Central,C,https://flagcdn.com/w40/ht.png,83,0,
Marrocos,MAR,África,C,https://flagcdn.com/w40/ma.png,8,0,
Austrália,AUS,Ásia,D,https://flagcdn.com/w40/au.png,27,0,
Estados Unidos,USA,América do Norte,D,https://flagcdn.com/w40/us.png,15,0,
Europa C,EUC,Europa,D,,,,
Paraguai,PAR,América do Sul,D,https://flagcdn.com/w40/py.png,40,0,
Alemanha,GER,Europa,E,https://flagcdn.com/w40/de.png,10,4,
Costa do Marfim,CIV,África,E,https://flagcdn.com/w40/ci.png,37,0,
Curaçao,CUW,América Central,E,https://flagcdn.com/w40/cw.png,81,0,
Equador,ECU,América do Sul,E,https://flagcdn.com/w40/ec.png,23,0,
Europa B,EUB,Europa,F,,,,
Holanda,NED,Europa,F,https://flagcdn.com/w40/nl.png,7,0,
Japão,JPN,Ásia,F,https://flagcdn.com/w40/jp.png,19,0,
Tunísia,TUN,África,F,https://flagcdn.com/w40/tn.png,47,0,
Bélgica,BEL,Europa,G,https://flagcdn.com/w40/be.png,9,0,
Egito,EGY,África,G,https://flagcdn.com/w40/eg.png,31,0,
Irã,IRN,Ásia,G,https://flagcdn.com/w40/ir.png,20,0,
Nova Zelândia,NZL,Oceania,G,https://flagcdn.com/w40/nz.png,85,0,
Arábia Saudita,KSA,Ásia,H,https://flagcdn.com/w40/sa.png,61,0,
Cabo Verde,CPV,África,H,https://flagcdn.com/w40/cv.png,67,0,
Espanha,ESP,Europa,H,https://flagcdn.com/w40/es.png,1,1,
Uruguai,URU,América do Sul,H,https://flagcdn.com/w40/uy.png,17,2,
França,FRA,Europa,I,https://flagcdn.com/w40/fr.png,3,2,
Intercontinental 2,IN2,,I,,,,
Noruega,NOR,Europa,I,https://flagcdn.com/w40/no.png,32,0,
Senegal,SEN,África,I,https://flagcdn.com/w40/sn.png,12,0,
Argélia,ALG,África,J,https://flagcdn.com/w40/dz.png,28,0,
Argentina,ARG,América do Sul,J,https://flagcdn.com/w40/ar.png,2,3,
Áustria,AUT,Europa,J,https://flagcdn.com/w40/at.png,24,0,
Jordânia,JOR,Ásia,J,https://flagcdn.com/w40/jo.png,64,0,
Colômbia,COL,América do Sul,K,https://flagcdn.com/w40/co.png,14,0,
Intercontinental 1,IN1,,K,,,,
Portugal,POR,Europa,K,https://flagcdn.com/w40/pt.png,6,0,
Uzbequistão,UZB,Ásia,K,https://flagcdn.com/w40/uz.png,52,0,
Croácia,CRO,Europa,L,https://flagcdn.com/w40/hr.png,11,0,
Gana,GHA,África,L,https://flagcdn.com/w40/gh.png,72,0,
Inglaterra,ENG,Europa,L,https://flagcdn.com/w40/gb-eng.png,4,1,
Panamá,PAN,América Central,L,https://flagcdn.com/w40/pa.png,33,0,
